"S+ 
Undisputed MVP

+16","S 
Top Tier

+14","A+ 
Solid

+10","A 
Good

+6","B
Average

+4","C
 Below Average

+2","D
Random/New/Unranked

+1","-
Unranked"
Blizzard (blizzarddd.),Squadronsss (squadronsss),zzgoat (7zvr),fitko (truneh),Sanguine_OP (abhinav_2010),Geri470 (gergelybende),,throwaway0882
OinkBlox (thisisaname0351_14947),HealthyAshkutchump (totalfatal),PeakStormer (stormer6),lambocar (immarioxd),,Bruh (nature96) ,,Bayu (BayuEatNOOBS)
,TOLML (tolml),smackdat (smackdat),Lg (devfanboy),Sami (samiultra),wisp_strike (wisp_strikeoui),,MAMAGREECE23 (thehardpuzzlegr)
,Logic (.logic._.),42hg5 (sillygoose1234),Replase3 (nut_put),sigmamaster123 (_qyz),windows8ismine (mightyrup),,kaspis (kaspizlt12)
,,Wrath (.wrath2),,robokiller191 (flow_mama),Steamm_Punkie (steam_punkie),,fabri4 (Swagfabri2)
,,Legend (legendofspeed14),Doge Boi (dogeb0i),Mieko (ytmiekorn),progadd1234 (smartonion12),,avek7579 (AvEkblox)
,,Haniball (haniball243),Skyighty (skyighty),Jonty_137 (jonty137),mmniiii (boban1loopy),,rockPikz
,,Skell (skellxv),,jim199551 (jim19955),mercedez_benzie (darealshahmirsatti69),,wriothesley11 (itschuuya)
,,,,buddydemonbakker (wowimsonotcool1),OverFlux_7 (myst_enkhee.),,
,,,Marcel (marcel2321),basque (basque_yurmom),,,alawards
,,,,Regular_Duck (fish2977),,,g82mthrapp
,,,Fakeio (fakeio),math94fr21 (math94),,,jan88
,,,KIllerz36022,ahmos (frogman4072),,,tamsot
,,,,pipolipo_tipolipo (pipo8888),,,
,,,,,,,arkoPng
,,,Standoff (standoffs),croliver173 (noeud),,,veljko0008 (Cheese)
,,,,Ikia (ikea_41110),,,
,,,,Night_fly11 (dragoonit),,,mrzeezee23
,,,,Anom (legallyanom),,,maggamer3
,,,,SoleFirefox (solefirefox),,,Connect (connect099)
,,,,sebi_n (sebineculai) ,,,DinoMan_Dan1
,,,,z0vpost,,,LordCelestial
,,,,,,,Zujkis1
,,,,,,,PZpin12
,,,,,,,Burn137155
,,,,,,,cheongcj
,,,,,,,CommanderHistorian
,,,,,,,jaan88
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,Austin.H (lioncrazycatwin)
,,,,,,,SnoopDogReap
,,,,,,,
,,,,,,,vochisak_man
,,,,,,,kingfahd24
,,,,,,,MapofFrance
,,,,,,,s0zcra777
,,,,,,,elbozo6822
,,,,,,,Lukas (ilovepolska)
,,,,,,,megacharizardxyzxyz
,,,,,,,proxy0679 (77sgj)
,,,,,,,screw562
,,,,,,,coolkid1013 (bilrue)
,,,,,,,adamzvire (nubkajz)
,,,,,,,maatgrow0
,,,,,,,FaintedReign
,,,,,,,marto_i (Martonstrece)
,,,,,,,sebast_mm (Fernanplayt)
,,,,,,,
,,,,,,,
,,,,,,,Crozicc (CroziccWasTaken)
,,,,,,,KrokiTeam (kroki4265)
,,,,,,,hmmtrey
,,,,,,,Telemon9123
,,,,,,,blueowl150
,,,,,,,herevegeta (imabot1761)
,,,,,,,tamerlane
,,,,,,,jimkohti0809
,,,,,,,talha_rbx3
,,,,,,,outlaw_for_life (Rokossovsky)
,,,,,,,1ntegre
,,,,,,,Pixel (PixelDragon434YT)
,,,,,,,UnidentifiedOrange
,,,,,,,fire900s
,,,,,,,mieko
,,,,,,,red_gamer (graju7)
,,,,,,,REICH_X
,,,,,,,viergo1234
,,,,,,,
,,,,,,,
,,,,,,,manuttadel
,,,,,,,Prokerboss (Prokerboss1)
,,,,,,,Dawid (DN5_Dave)
,,,,,,,NuqedK
,,,,,,,flamebird324_tie
,,,,,,,alfiejc01
,,,,,,,pharle
,,,,,,,cutwss
,,,,,,,
,,,,,,,mormita11
,,,,,,,basking_shark
,,,,,,,
,,,,,,,D.W (mocosdiamondsquad)
,,,,,,,akirafrfr (xxxtxtentacionxxx1)
,,,,,,,vLuE_PanDA
,,,,,,,brunobblyt
,,,,,,,
,,,,,,,Cryptoraider (BabyPug2929)
,,,,,,,BrithishArmyTea
,,,,,,,Gabriel212354
,,,,,,,indicaisive (YTindicaisive)
,,,,,,,milo98912
,,,,,,,Rokossovsky
,,,,,,,kirk
,,,,,,,dodo_kdw
,,,,,,,niivolo
,,,,,,,solarwalker0035
,,,,,,,antyworldcan100
,,,,,,,sus-rn (IlIkeYoUcATSs2ana_k00
,,,,,,,runkerman200
,,,,,,,noobg_ (MobileIronMan)
,,,,,,,
,,,,,,,darkshadowiscool
,,,,,,,bobrvitek (bobrtek)
,,,,,,,chaan2020
,,,,,,,RobinSpiderman2
,,,,,,,SB737realdude
,,,,,,,Brons0n122
,,,,,,,BendyViktor
,,,,,,,najanson0
,,,,,,,Automatives
,,,,,,,cursed_chains1
,,,,,,,walt311
,,,,,,,sillybananadoggo
,,,,,,,strangr459
,,,,,,,bulguraga10
,,,,,,,mastredabberboi
,,,,,,,
,,,,,,,NotQueen
,,,,,,,Ukownloser (warangamer1.0)
,,,,,,,Porl41
,,,,,,,HarshaanSooch007
,,,,,,,
,,,,,,,claoudz
,,,,,,,77_proxy
,,,,,,,end_snake64
